"transaction_uti","isin","notional","notional_currency","transaction_type","transaction_datetime","rate","lei","legalName","bic","transaction_costs"
"0000452AMARKITWIRE188040944","EZ29LKLNM4G1","2.4E7","EUR","Sell","2022-06-22T14:09:23Z","0.0028900000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","8280498269.896193"
"0000452AMARKITWIRE189056073","EZ53S44K7JL2","1.47E7","EUR","Buy","2022-07-07T12:12:38Z","0.0023800000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","6161770588.235294"
"1030238917C2B4CB90B9D211E9984D070361192EBB","EZ6Y30GC29Z2","2.14E8","EUR","Buy","2019-08-08T11:50:00Z","0.0004800000","K6Q0W1PS1L1O4IQL9C32","J.P. MORGAN SECURITIES PLC","JPMSGB2LXXX","-213897280.0"
"0000452AMARKITWIRE189502871","EZWXNZCG4HW5","5.0E7","EUR","Buy","2022-07-14T10:28:57Z","0.0044800000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","11110714285.714287"
"0000452AMARKITWIRE190106524","EZ848JR3VBM1","6900000.0","EUR","Buy","2022-07-25T12:34:28Z","0.0063300000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","1083147393.364929"
"0000452AMARKITWIRE150674490","EZH7KHTJD052","4.5E7","EUR","Buy","2019-09-27T12:32:11Z","0.0042700000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","10493641686.182669"
"0000452AMARKITWIRE188631428","EZDYJN1BK9K2","4600000.0","EUR","Buy","2022-06-30T09:50:48Z","0.0000600000","4PQUHN3JPFGFNF3BB653","MORGAN STANLEY & CO. INTERNATIONAL PLC","MSLNGB2XXXX","-4599724.0"
"0000452AMARKITWIRE190106543","EZF6Q1GFJ316","7400000.0","EUR","Buy","2022-07-25T12:35:59Z","0.0063300000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","1161636334.9131124"
"0000452AMARKITWIRE187215187","EZ2KJCJ083B8","6.0E7","EUR","Buy","2022-06-10T14:08:07Z","0.0006300000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","95178095238.09523"
"10302389174A38DCE0DBA811E9B389B9699A7DC0CC","EZ69M311SB39","1.1E7","GBP","Buy","2015-03-04T12:00:00Z","0.0011000000","4PQUHN3JPFGFNF3BB653","MORGAN STANLEY & CO. INTERNATIONAL PLC","MSLNGB2XXXX","-10987900.0"
